InstallSource,UninstallString,UninstallSubkey,InstallLocation,ProductCode,Is64BitApplication,Publisher,InstallDate,DisplayVersion,DisplayName
,Disabled Computers,OU=Disabled Computers,OU=Disabled,DC=paylocity,DC=com                                ,,,,
,Distribution Computers,OU=Distribution Computers,OU=Distribution,OU=Headquarters,DC=paylocity,DC=com        ,,,
,Finance Computers,OU=Finance Computers,OU=Finance,OU=Headquarters,DC=paylocity,DC=com                  ,,,
,HR Computers,OU=HR Computers,OU=HR,OU=Headquarters,DC=paylocity,DC=com                            ,,,
,Implementation Computers,OU=Implementation Computers,OU=Implementation,OU=Headquarters,DC=paylocity,DC=com    ,,,
,InfoSec Computers,OU=InfoSec Computers,OU=InfoSec,OU=Headquarters,DC=paylocity,DC=com                  ,,,
,IT Computers,OU=IT Computers,OU=IT,OU=Headquarters,DC=paylocity,DC=com                            ,,,
,Learning Computers,OU=Learning Computers,OU=Learning,OU=Headquarters,DC=paylocity,DC=com                ,,,
,Recruiting Computers,OU=Recruiting Computers,OU=Recruiting,OU=Headquarters,DC=paylocity,DC=com            ,,,
,Sales Computers,OU=Sales Computers,OU=Sales,OU=Headquarters,DC=paylocity,DC=com                      ,,,
,Tax Computers,OU=Tax Computers,OU=Tax,OU=Headquarters,DC=paylocity,DC=com                          ,,,
,Tech Services Computers,OU=Tech Services Computers,OU=Tech Services,OU=Headquarters,DC=paylocity,DC=com      ,,,
,Time and Labor Computers,OU=Time and Labor Computers,OU=Time and Labor,OU=Headquarters,DC=paylocity,DC=com    ,,,
,Training Room Computers,OU=Training Room Computers,OU=IT,OU=Headquarters,DC=paylocity,DC=com,,,
